name,org,category,oss_triangle,license,scale,modalities,embodiment,task_type,format_access,cpu_feasibility,udos_fit,source_url,evidence,source_class
Human2Robot / H2O (Learning Human-to-Humanoid),CMU LeCAR Lab (Jiatao/Guanzhiya Shi 等),重定向: SMPL 人体 -> humanoid 两阶段 pipeline,代码✅ (human2humanoid.com 提供 pipeline 与 retargeting optimizer); 权重❌ (训练式); 数据✅ retargeted motion dataset,[UNVERIFIED] 具体 LICENSE 未在搜索中直接读到; LeCAR-Lab 系多为 MIT,SMPL -> Unitree H1; 两阶段 (shape/motion 优化 + privileged imitation policy 清理 artifacts),SMPL body params -> robot joint angles; 无 RGB (离线数据),Unitree H1 (及 H1-2 衍生),human motion retargeting + sim-to-real teleop,Python + MuJoCo/Isaac; retargeted motion pkl,阶段一 SMPL->robot 形状/运动参数优化可 CPU; 阶段二 RL policy 需 GPU; 对 UDOS 主要是两阶段思想参考,"{'module': 'wla (跨本体迁移) / spatial', 'entry': ""阶段一纯几何对齐 (shape + keypoint 优化) 可在 CPU 下复现作 wla 跨本体迁移的几何 baseline; 阶段二 'privileged policy 清理物理不可行动作' 思想可作 world_model 物理一致性过滤参考"", 'priority': '高'}",https://human2humanoid.com/ ; https://lecar-lab.github.io/publications.html,官方项目页; LICENSE [UNVERIFIED],动作库
OmniControl,NTU S-Lab (Xie et al.),"人体动作生成 (diffusion prior, 非机器人本体)","代码✅ neu-vi/omnicontrol; 权重✅ (HumanML3D/KIT-ML 训练 checkpoint); 数据✅ (用 HumanML3D, 非自有)",[UNVERIFIED] 仓库 LICENSE 未在搜索中直接读到; 多为 MIT,"在 HumanML3D (~14.6M frames, 14k seqs) / KIT-ML 上训练; diffusion transformer",text + 任意关节时空轨迹约束 -> SMPL 人体动作; 无机器人本体,SMPL 人体 (非机器人); 下游常被 retarget 到 G1 等 (如 DreamControl),text-conditioned human motion generation with spatial guidance,PyTorch diffusion model; text + keypoint trajectories,diffusion transformer 推理需 GPU; CPU 只能作架构参考 (analytic spatial guidance 即 inpainting 式时空引导思想),"{'module': 'wla (动作先验 / latent_reasoner)', 'entry': ""analytic spatial guidance (任意关节任意时刻位置约束 inpainting) 是 wla flow decoder 在部分观测下补全动作的直接范式参考; '单模型支持跨关节跨时间条件' 对应 wla 三分组共用一个 flow 解码器"", 'priority': '高'}",https://neu-vi.github.io/omnicontrol/ ; https://arxiv.org/abs/2310.08580 ; ICLR 2024,ICLR 官方 proceedings + arXiv,动作库
HumanPlus,"Stanford (Zipeng Fu, Qingqing Zhao, Gordon Wetzstein, Chelsea Finn)",重定向/人体到人形 (RGB-only shadowing + imitation),代码✅ MarkFzp/HumanPlus; 权重✅ (shadowing transformer + imitation transformer checkpoints); 数据✅ 40h human motion + 40 demo teleop,"[UNVERIFIED] 仓库 LICENSE 未在搜索中直接读到 (CoRL 2024, Stanford 系多为 MIT/BSD)",40 小时 human motion data 训 shadowing policy; 40 demonstrations 训 skill policy; 33-DoF 180cm 自研 humanoid,RGB (单目) -> whole-body joint; binocular egocentric for skills; 无 mocap suit 在线,"33-DoF 180cm humanoid (自研), 亦适配 Unitree H1 类",real-time humanoid shadowing + autonomous skill imitation,PyTorch + IsaacGym; rsl_rl/legged_gym 栈,shadowing transformer 推理需 GPU; CPU 仅架构参考 (两阶段: 大 mocap 训低级跟踪 -> 少量 BC 训技能),"{'module': 'neural_control (CortexPlanner/CerebellumTracker 分层)', 'entry': ""两阶段 '大运动数据训低级实时跟踪器 + 少量 demo 训高级技能' 正是 neural_control 大脑-小脑分层的范式: CerebellumTracker 对 HumanPlus shadowing, CortexPlanner 对 HumanPlus imitation transformer"", 'priority': '高'}",https://humanoid-ai.github.io/ ; https://arxiv.org/abs/2406.10454 ; https://github.com/MarkFzp/HumanPlus,官方项目页 + arXiv; LICENSE [UNVERIFIED],动作库
ExBody,"CMU / Stanford (Xuxin Cheng, Xue Bin Peng 等)",重定向/人体到人形 (expressive whole-body control),"代码✅ chengxuxin/expressive-humanoid; 权重✅ (checkpoint); 数据✅ (基于 CMU MoCap, 非自有)",[UNVERIFIED] 仓库 LICENSE 未直接读到; 第三方统计 ~483 stars,~780 reference motions from CMU MoCap; Unitree H1; upper-body expressive + lower-body stable 解耦,CMU MoCap -> H1 joint tracking; keypoints + joint position rewards,Unitree H1 (4-DoF arm),expressive whole-body humanoid motion imitation (dance/wave/mummy walk),IsaacGym + rsl_rl; legged_gym 栈,RL 训练/推理需 GPU; CPU 仅作 reward 解耦思想参考,"{'module': 'neural_control (SpinalReflex 下肢稳定)', 'entry': '上下体解耦: 下肢稳定跟踪 + 上体高表达力, 对应 SpinalReflex 保底下肢平衡、CortexPlanner 放开上体表达的分层控制哲学', 'priority': '中'}",https://github.com/chengxuxin/expressive-humanoid ; https://arxiv.org/abs/2402.16796 (RSS 2024),arXiv + 第三方仓库元数据; LICENSE [UNVERIFIED],动作库
ExBody-2,CMU / Stanford (Xue Bin Peng 组),重定向/人体到人形 (advanced expressive whole-body),"代码: 搜索结果出现 git clone git@github.com:jimazeyu/exbody2 安装命令, 暗示仓库已公开; 但第三方 RoboWBC 文档称 'as of April 2026 no public code' -> 状态矛盾, 以 [UNVERIFIED] 标注; 权重/数据 [UNVERIFIED]",[UNVERIFIED] (与 ExBody 一致推测),two humanoid platforms; 对 ExBody 设计因子做 comprehensive ablation (upper/lower body decoupling 深化),MoCap -> humanoid whole-body,two humanoid platforms (含 H1 系),extreme expressive whole-body control,IsaacGym/rsl_rl/legged_gym (据安装命令),"同 ExBody, GPU 训练; CPU 架构参考","{'module': 'neural_control', 'entry': '对上下体解耦设计因子的 ablation 结论可作 SpinalReflex/Cortex 分层权重分配的实证参考', 'priority': '低 (代码可下性存疑)'}",https://exbody2.github.io/ ; https://arxiv.org/abs/2412.13196 ; https://github.com/jimazeyu/exbody2,"项目页 + arXiv; GitHub robots 拦截无法直接 fetch, 代码可下性 [UNVERIFIED]",动作库
OmniH2O,"CMU LeCAR Lab (Yandong Ji, Guangya Shi 等)",重定向/人体到人形 (universal whole-body teleop + learning),"代码✅ (omni.human2humanoid.com 项目页有 Code 链接, LeCAR-Lab publications 页声明 all projects open-sourced); 权重✅; 数据✅ first humanoid loco-manipulation dataset",[UNVERIFIED] 仓库具体 LICENSE 未直接 fetch (官网仅 Code 链接); LeCAR 系多为 MIT,universal control interface (kinematic pose 为统一接口); H1 + G1 平台; 全身 dexterous loco-manipulation,kinematic pose (universal interface) + 多模态输入 (动捕/VR/GPT-4o 文本); RGB-D,"Unitree H1, G1; 双臂 7/4/5 DoF 对照",whole-body teleop + autonomous loco-manipulation (sports/object manipulation/human interaction),Python + IsaacGym; retargeted motion + teleop demonstrations,RL tracking policy 训练需 GPU; kinematic interface 设计可 CPU 阅读,"{'module': 'wla (universal action interface) / multi_agent', 'entry': ""用 kinematic pose 作 'universal 控制接口' 屏蔽硬件差异, 正是 wla change-mask + VQ 想做的跨本体统一动作空间; 'universal interface 支持多种人输入方式' 对应 UDOS 多源观测融合"", 'priority': '高'}",https://omni.human2humanoid.com/ ; https://arxiv.org/abs/2406.08858 (CoRL 2024),官方项目页 (Code 链接确认) + arXiv; LICENSE [UNVERIFIED],动作库
PHC (Perpetual Humanoid Control),"Carnegie Mellon University (Zhengyi Luo, Kris Kitani)",重定向/物理仿真人形 (perpetual motion imitator),"代码✅ ZhengyiLuo/PHC; 权重✅ (AMASS-trained policy); 数据 (用 AMASS, 非自有)",[UNVERIFIED] 仓库 LICENSE 未直接读到,"single policy 模仿几乎全部 AMASS; 可从 fall fail-state 恢复, 无需 reset; 28-DoF humanoid",AMASS SMPL pose -> physics-based humanoid joint torque,28-DoF simulated humanoid (SMPL-compatible),perpetual real-time avatar motion imitation (robust to noisy video-estimated motion),PyTorch + IsaacGym; AMASS SMPL sequences,RL policy 推理需 GPU; CPU 仅架构参考 (fall recovery / no-reset 思想),"{'module': 'world_model / neural_control', 'entry': 'perpetual (从失败态恢复、不 reset) 思想对应 UDOS closed_loop 世界模型的连续时序性 (ctm_engine 52191 参数主预测器不应因偏差中断); 鲁棒跟踪 noisy 输入对 icm 外挂记忆容错有借鉴', 'priority': '中'}",https://github.com/ZhengyiLuo/PHC ; https://zhengyiluo.com/PHC-Site ; https://arxiv.org/abs/2305.06456 (ICLR 2024),arXiv + 项目页; LICENSE [UNVERIFIED],动作库
Unitree LAFAN1_Retargeting_Dataset (及 Human-as-Humanoid/PrimeU 澄清),"Unitree Robotics (LAFAN1 retarget); Human-as-Humanoid 论文对应 PrimeU = 深度机智(WisdomHalo), 非 Unitree",重定向数据 (官方人形全身动作数据集),代码✅ (Pinocchio-based retargeting pipeline); 数据✅ HuggingFace unitreerobotics/LAFAN1_Retargeting_Dataset 公开下载; 权重❌,data license 'other' (HuggingFace 标注); 源 LAFAN1 为 CC-BY-NC-ND 4.0 (非商用) -> 衍生数据同样受非商用约束; 代码 MIT 系,"LAFAN1 全量重定向到 Unitree H1 / H1-2 / G1 三本体; LAFAN1 原始 496,672 frames / 15 contents",BVH -> 关节角轨迹 (joint angles + root SE(3)); 无视觉,"Unitree H1, H1-2, G1",offline motion tracking policy training 数据,HuggingFace datasets; Pinocchio IK + interaction mesh 优化,BVH/关节角解析可 CPU; Pinocchio IK 优化可 CPU (轻量); 是少数 CPU 下可直接消化的机器人本体动作数据,"{'module': 'wla (跨本体迁移) / spatial', 'entry': ""同一份 LAFAN1 重定向到 H1/H1-2/G1 三本体, 是 wla 跨本体迁移最干净的 '一对多' ground truth 对照; 关节角+root SE(3) 格式可直接喂 ctm_engine 时序预测"", 'priority': '高'}","https://huggingface.co/datasets/unitreerobotics/LAFAN1_Retargeting_Dataset ; https://www.unitree.com/opensource/ ; Human-as-Humanoid 论文 https://arxiv.org/abs/2606.32009 (注意: PrimeU 属深度机智, 非 Unitree)",官方 HF 页 + Unitree opensource 页 + arXiv; 名称归属已纠正,动作库
GraspNet-1Billion,"SJTU MVIG (Hao Shu, Lu Cewu 组)",抓取/操作 (6-DoF parallel-jaw grasp 基准),代码✅ grpax/graspnet (github); 权重✅ (GraspNet baseline 模型); 数据✅ 官方站下载,"CC BY-NC-SA 4.0 (数据/代码/模型, 非商用+相同方式共享; 商用需邮件联系)","190 cluttered scenes, 97,280 RGB-D images (Kinect Azure + RealSense D435), 88 objects, >1.1 billion grasp poses","RGB-D, point cloud, 6-DoF grasp pose, object 6D pose, mask/bbox","parallel-jaw (Franka Panda/Robotiq 2F 类夹爪, 非灵巧手)",6-DoF grasp detection / 6D object pose estimation,"Blob/HDF5 风格 (scene/{rgb,depth,label,ann}); 14GB+ per split",点云/标注解析可 CPU; 深度网络推理需 GPU; 数据 schema (6-DoF grasp in SE(3)) 可作 spatial/collision 模块的抓取先验几何定义,"{'module': 'spatial/collision (抓取先验) / neural_control 脊髓反射', 'entry': ""1.1B force-closure grasp pose 分布可作 neural_control SpinalReflex 层面 '末端到达位形' 的先验分布 (无须学, 直接查表/几何过滤); 6-DoF grasp SE(3) 可进 scene_graph 作为 grasp affordance 节点"", 'priority': '中'}",https://graspnet.net/ ; https://arxiv.org/abs/1912.13470,官方一手 (license 页明示 CC BY-NC-SA),动作库
DexGraspNet (1.0 / 2.0),Peking University EPIC (Lin Haoyu 组),抓取/操作 (灵巧手仿真抓取),代码✅ PKU-EPIC/DexGraspNet; 权重✅ (grasp synthesis models); 数据✅ 仿真生成数据公开,"[UNVERIFIED] 仓库具体 LICENSE 未直接读到 (学术开源, 多为 MIT)","v1: Allegro 手, 大规模通用物体; v2.0: 8270 cluttered scenes, 427 million grasp labels for LEAP hand","3D object mesh (objaverse 类), dexterous hand joint angles, grasp labels (force closure)","Allegro Hand (v1), LEAP Hand (v2); 可扩展到 Shadow 等",dexterous grasp synthesis / generative grasping in cluttered scenes,MuJoCo/SAPIEN/PyBullet 仿真; mesh + grasp JSON,力封闭优化抓取生成可 CPU (小规模); 生成式网络需 GPU; 数据 (mesh+grasp pairs) 解析可 CPU,"{'module': 'spatial/collision (dexterous grasp prior)', 'entry': ""427M dexterous grasp labels 是 SpinalReflex 层级 '手指关节协同配置' 先验的最大公开源; 可作 wla '末端关节组' 的码本初始化分布"", 'priority': '中'}",https://pku-epic.github.io/DexGraspNet/ ; https://github.com/PKU-EPIC/DexGraspNet ; https://arxiv.org/abs/2210.02697,项目页 + arXiv; LICENSE [UNVERIFIED],动作库
GraspXL,"ETH Zürich / Univ. Tübingen (Hui Zhang, Jie Song, Ot Hilliges)",抓取/操作 (dexterous grasping 动作序列生成),代码✅ (project page); 权重✅; 数据✅ 500k+ object grasping motions,[UNVERIFIED] 仓库 LICENSE 未直接读到,"500k+ objects, grasp motion sequences across MANO (human) and Allegro (robot) hands","3D object mesh, hand joint angle trajectory (temporal, 非静态 grasp)",MANO human hand + Allegro robot hand,objective-driven grasp motion generation (多目标: force closure/penetration 等),PyTorch + MuJoCo/PyBullet; grasp motion sequences,动作序列数据解析可 CPU; policy 训练需 GPU,"{'module': 'wla (末端关节组时序) / neural_control', 'entry': ""与 GraspNet 的静态 grasp 不同, GraspXL 给的是 temporal grasp motion (接近->接触->闭合) 序列, 正是 wla 'flow decoder 末端关节组' 所需的时序先验; 人(MANO)->机器人(Allegro) 跨本体对可作 wla 跨本体迁移样本"", 'priority': '中'}",https://arxiv.org/abs/2403.19649 (ECCV 2024),arXiv; 项目页/仓库 LICENSE [UNVERIFIED],动作库
UniDexGrasp,Peking University EPIC (Lin Haoyu 组),抓取/操作 (通用灵巧手抓取策略),代码✅ PKU-EPIC/UniDexGrasp; 权重✅; 数据✅,"[UNVERIFIED] (学术开源, 推测 MIT)",diverse proposal generation + goal-conditioned policy; 跨物体类别通用,point cloud / object state -> dexterous grasp trajectory,Allegro Hand (PyBullet),universal dexterous grasping (两阶段: proposal + goal-conditioned 重排),PyTorch + PyBullet; point cloud inputs,两阶段策略思想可 CPU 参考; 策略网络推理需 GPU,"{'module': 'neural_control (CortexPlanner 抓取规划)', 'entry': ""'proposal generation + goal-conditioned ranking' 两阶段对应 CortexPlanner 生成候选 + 重排序, 与 UDOS latent_reasoner 多 effort 档筛选思想同构"", 'priority': '低'}",https://pku-epic.github.io/UniDexGrasp/ ; https://github.com/PKU-EPIC/UniDexGrasp ; https://arxiv.org/abs/2303.00938 (CVPR 2023),北大官方新闻 + 项目页; LICENSE [UNVERIFIED],动作库
AMASS (SMPL / SMPL-X),Max Planck Institute for Intelligent Systems (MPI),人体动作基础 (统一 MoCap 参数库),"代码✅ (smplx PyPI, MPI 官方 tools); 权重=body model (SMPL CC-BY-4.0, SMPL-X 非商业注册下载); 数据✅ 注册后下载",AMASS 数据: 非商业科研专属 license (禁止商用/任何商业用途); SMPL body: CC-BY 4.0; SMPL-X/MANO: 非商业科研 license (商用需 Meshcapade 单独授权),"~42 hours (16000+ min) mocap, 344/346 subjects, 11,451 motions, 40+ 原始 MoCap 数据集合并, ~43 GB compressed","SMPL/SMPL-X 统一 body params (betas/pose/trans), 24/55 joints; 无 RGB",SMPL/SMPL-X 参数化人体 (非机器人),human motion prior / avatar / retargeting source,NPZ (body pose params); smplx Python package,NPZ 解析/smplx forward kinematics 可 CPU (纯数值); 是 UDOS 最容易直接吃的人体动作先验,"{'module': 'wla / ctm_engine 动作先验', 'entry': 'AMASS 是几乎所有 humanoid retargeting (PHC/H2O/ExBody) 的源数据; 其 SMPL pose 序列可直接作 ctm_engine 连续时序动作 token 的无视觉监督源; 注意非商用 license 限制 UDOS 商用分发', 'priority': '高'}",https://amass.is.tue.mpg.de/ ; https://amass.is.tue.mpg.de/license.html ; https://arxiv.org/abs/1904.03278,官方 license 页 + 论文,动作库
GRAB (GRasping Actions with Bodies),MPI (Muhammed Koc 等),人体动作基础 (全身抓握物体),代码✅ (GrabNet 生成模型); 权重✅; 数据✅ 注册下载,"非商业科研 license (同 MPI 系, grab.is.tue.mpg.de 注册)","10 subjects (5m/5f), 51 everyday objects, whole-body grasp sequences (吃/打电话/喝咖啡/望远镜等)",SMPL body + MANO hand + object mesh + binary contact maps,MANO 手 + SMPL 全身 (非机器人),human-object grasping / contact-rich manipulation prior,NPZ (body/hand/object/contact),NPZ 解析 + 接触图计算可 CPU,"{'module': 'spatial/collision (contact prior)', 'entry': ""binary contact maps 提供 '手-物体接触点' 真值, 可作 UDOS collision/occupancy 模块接触先验的监督信号; 51 类物体全身抓握可丰富 scene_graph 交互边"", 'priority': '中'}",https://grab.is.tue.mpg.de/ ; https://arxiv.org/abs/2008.11200 (ECCV 2020),官方站点 + arXiv,动作库
DexYCB,UC Berkeley / Stanford (Yuzhe Qin 等),人体动作基础 (人手抓 YCB 物体多视图),代码✅ dex-ycb.github.io; 权重❌ (数据集为主); 数据✅ 公开,[UNVERIFIED] 仓库 LICENSE 未直接读到 (YCB 物体集本身 CC-BY 4.0 + 代码 MIT),"582K RGB-D frames, 1000 sequences, 10 subjects, 20 YCB objects, 8 views","multi-view RGB-D, 3D hand pose (MANO), object 6D pose, handover labels",human hand (MANO),"hand-object grasping benchmark (2D/6D pose, 3D hand pose, handover)",RGB-D + MANO params + object annotations,标注/骨架数据解析可 CPU; 多视图 RGB-D 体积大,"{'module': 'spatial (多视角一致性)', 'entry': '8 视角 RGB-D + 3D 手/物真值可作 spatial_query 多视角几何一致性验证的 ground truth', 'priority': '低'}",https://dex-ycb.github.io/ ; https://arxiv.org/abs/2104.04631 (CVPR 2021),arXiv + 项目页; LICENSE [UNVERIFIED],动作库
HOI4D,Tsinghua 等 (Zhan Xu 等),人体动作基础 (4D 第一人称 HOI),代码✅ hoi4d.github.io; 权重❌; 数据✅ 申请下载,"[UNVERIFIED] (学术数据集, 研究用)","2.4M RGB-D egocentric frames, 4000 sequences, 9 participants, 800 object instances, 16 categories, 610 indoor rooms","egocentric RGB-D, panoptic/motion segmentation, 6D object pose, 4D dynamic scene",human (ego),category-level 4D human-object interaction,RGB-D + pose + segmentation; 需单独申请原始视频,标注/pose 解析可 CPU; 原始视频量大,"{'module': 'scene_graph / occupancy', 'entry': '800 实例/16 类/610 房间的 4D 交互标注可作 scene_graph 类别级 HOI 边类型的先验统计', 'priority': '低'}",https://hoi4d.github.io/ ; https://arxiv.org/abs/2203.01577 (CVPR 2023),官方项目页 + arXiv; LICENSE [UNVERIFIED],动作库
ARCTIC,MPI / NVIDIA (Wangdong Zhang 等),人体动作基础 (灵巧双手操作铰接物体),代码✅ arctic-data.github.io (官方 toolkit); 权重❌; 数据✅ MoCap rig 采集公开,"[UNVERIFIED] (MPI 系, 非商业科研倾向)","339 sequences, 10 subjects (5F/5M), 11 articulated objects, 2.1M RGB images (8 static views + 1 egocentric), use/grasp 两种交互","RGB (9 views), 3D hand mesh (MANO), articulated object mesh + contact",human two hands (bimanual dexterous),bimanual dexterous manipulation of articulated objects,RGB + SMPL-X/MANO + articulated object params + contact,mesh/关节角标注解析可 CPU; RGB 体量大,"{'module': 'wla (双臂铰接操作)', 'entry': '铰接物体 (抽屉/台灯/剪刀类) 的双手操作是 wla 双臂协调 + 物体主动关节联合建模的稀缺真值数据; 与 DexMimicGen 双臂分组思想互证', 'priority': '中'}",https://arxiv.org/abs/2204.13662 (CVPR 2023); arctic-data.github.io,arXiv CVF 官方 paper; LICENSE [UNVERIFIED],动作库
LAFAN1,Ubisoft La Forge,人体动作基础 (游戏级 MoCap 数据集),"代码✅ (benchmarks.py / 工具, MIT); 权重❌; 数据✅ 公开下载",数据: CC-BY-NC-ND 4.0 (非商用 + 禁止演绎); 代码: MIT,"496,672 frames, 15 contents (风格化 locomotion/climb/fight 等), 单骨架","BVH 关节角 (root + joints), 无视觉","游戏人形骨架 (非机器人; 常被重定向到 H1/G1, 见 Unitree LAFAN1_Retargeting)",motion in-betweening / locomotion benchmark,"BVH (ASCII 文本, 最易 CPU 解析); FBX","BVH 纯文本, CPU 下最轻量; 是 UDOS 离线动作数据成本最低的入口","{'module': 'ctm_engine (时序动作建模) / wla', 'entry': 'BVH 纯文本关节角序列是 ctm_engine 52191 参数主预测器做连续时序动作预测的最小可吃数据; 配合 Unitree 重定向版可直接做跨本体对照', 'priority': '高'}",https://github.com/ubisoft/ubisoft-laforge-animation-dataset ; Harvey et al. 2020,官方 HF 镜像标注 license + 论文,动作库
pytorch_kinematics,University of Michigan ARM Lab (Sheng Zhong),IK/FK 工具链 (differentiable FK/IK),代码✅ UM-ARM-Lab/pytorch_kinematics; 权重 N/A; 数据 N/A (工具库),MIT,纯代码库; 支持 URDF/SDF/MJCF 加载; FK/Jacobian/damped least-squares IK; 无参数规模概念,URDF/SDF/MJCF -> joint angles -> end-effector SE(3) + Jacobian,任意 URDF 机器人 (Franka/KUKA/人形均可),differentiable FK/Jacobian/batched IK,pip install pytorch-kinematics; PyTorch tensors,"纯 PyTorch, CPU 下可跑小机器人 FK/IK demo (虽可 GPU 加速但非必须); 是 UDOS 最易直接接入的几何工具","{'module': 'spatial / spatial_query (几何验证)', 'entry': 'URDF 加载 + batched FK + damped IK 可直接作 UDOS spatial/collision 模块的几何 ground truth 验证器: wla 产出的末端位姿 -> IK 反解关节角, 检验可达性/关节限位/自碰撞', 'priority': '高'}",https://github.com/UM-ARM-Lab/pytorch_kinematics ; https://pypi.org/project/pytorch-kinematics/,PyPI + GitHub 元数据 (MIT 明确),动作库
yourdfpy,Clemens Eppner (原 mmatl/urdfpy 继任),IK/FK 工具链 (URDF 解析/可视化),代码✅；权重 N/A；数据 N/A,MIT,纯 Python URDF parser/validator/saver/visualizer; 无机器人规模,URDF XML -> kinematic tree / collision geometry / visual meshes,任意 URDF,URDF 加载/校验/保存/可视化,pip install yourdfpy; Python object API,"纯 Python, 零 GPU 依赖, CPU 完美; 最轻量的 URDF 几何入口","{'module': 'spatial / scene_graph (URDF 归一化)', 'entry': 'UDOS 零重依赖定位下, yourdfpy 是解析异构机器人 URDF、提取 link/joint/collision mesh 的候选纯 Python 依赖; 可作 spatial 模块机器人描述归一化层', 'priority': '高'}",https://github.com/clemense/yourdfpy ; https://yourdfpy.readthedocs.io/ ; https://pypi.org/project/yourdfpy/,PyPI + readthedocs (MIT),动作库
Genesis,Genesis-Embodied-AI 社区 (清华/北大/多机构联合),IK/FK/物理仿真工具链 (generative physics engine),代码✅ Genesis-Embodied-AI/Genesis; 权重 N/A (引擎); 数据 N/A,"Apache 2.0 (可商用/修改/再分发, 宽松)",Python+Taichi; 支持 CPU / Vulkan / Metal / NVIDIA GPU 后端; 28k+ stars; URDF/MJCF/OBJ/STL/PLY/GLB,unified multi-physics (rigid/deformable/fluid),URDF/MJCF 任意机器人,robotics simulation / RL training / data generation,pip install genesis-world; Python API,"支持 CPU backend (Taichi), 但大规模并行 RL 仍推荐 GPU; 单步小场景物理可 CPU; 对 UDOS 作物理引擎架构参考","{'module': 'world_model (PWM 物理参考)', 'entry': ""Genesis 多材料统一求解器 + CPU/Vulkan 后端的设计对 UDOS world_model/wm_conservation 物理守恒模块的'轻量可移植物理'目标有架构借鉴; Apache 2.0 可商用友好"", 'priority': '中'}",https://github.com/Genesis-Embodied-AI/Genesis ; https://genesis-embodied-ai.github.io/ ; https://pypi.org/project/genesis-world/,官方项目页 + PyPI (Apache 2.0 明确),动作库
MuJoCo MPC (MJPC),Google DeepMind,IK/FK/MPC 工具链 (predictive control),代码✅ google-deepmind/mujoco_mpc; 权重 N/A; 模型=MuJoCo MJCF,Apache 2.0 (MuJoCo 本体 2022 开源后 Apache 2.0),支持 iLQG / Gradient Descent / Predictive Sampling 三种 shooting planner; 交互式 GUI; HumanoidBench 人形评测,MJCF -> MPC -> 关节/torque 命令; contact-implicit,MuJoCo 任意模型 (人形/四足/机械臂),real-time whole-body MPC for legged robots,C++ 主库 + Python bindings; MJCF,MuJoCo 物理步进本身 CPU 极快 (~100Hz 真实硬件已验证); MPC iLQG 可 CPU 实时; 是 UDOS neural_control 脊髓层 MPC 思想最干净的 CPU 参考实现,"{'module': 'neural_control (SpinalReflex 反射层)', 'entry': 'contact-implicit MPC (无需显式接触 schedule) 对应 SpinalReflex 反射层: 不靠学习、靠模型预测在 CPU 上实时解短期 torque; iLQG/Predictive Sampling 两法可作 UDOS 无神经网络反射 fallback 的算法候选', 'priority': '高'}",https://github.com/google-deepmind/mujoco_mpc ; https://arxiv.org/abs/2212.00541,GitHub + arXiv (Apache 2.0 明确),动作库
